																																																												
																																																												
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Bahrain	BHR	Real interest rate (%)	FR.INR.RINR																											31.89907888	6.796161531	5.676506993	4.267214334	3.419726616	11.47487059	15.81804425	14.29430179	3.150137647	10.49670309	12.0998222	11.16094554	20.28486313	8.842683583	-14.14599338	14.54565187	4.675236224	-0.138077523	-2.781086302	-5.19904965	-0.796831845	-0.155940095	-2.820811756	24.06170211	-0.18011263	-2.684634386	2.93184586	5.529704765	7.667336124	16.03218022	
"Bahamas, The"	BHS	Real interest rate (%)	FR.INR.RINR																	6.944387123	7.639237246	7.092680989	0.525916095	0.751287394	-5.683085006	7.04469061	4.739740264	7.58791859	1.72652926	4.385243645	2.264504228	7.405764801	7.058839804	3.736699613	6.282837308	4.020734977	8.381728412	4.591386843	5.900218573	5.709560697	-20.74252818	3.591180844	1.356881117	5.0317848	5.62651455	1.961490092	4.790079751	4.748789075	0.461501818	4.633667425	2.479393667	3.95226522	6.605005788	5.915873062	5.972112025	1.435633225	3.24917116	3.042996399	0.264110395	
Bosnia and Herzegovina	BIH	Real interest rate (%)	FR.INR.RINR																																							76.28875606	30.33084306	1.327636042		7.882563451	9.867584959	7.515824401	6.599707151	0.169379969	0.825634417	-0.252927635	7.899362098	6.286006227	4.837337495	6.394612496	7.344559826	5.579376186	4.28201955	
Belarus	BLR	Real interest rate (%)	FR.INR.RINR																																		-85.12071238	-87.84904718	-63.88673323	5.606695701	-23.21560061	-28.08281104	-63.76101646	-41.22955676	-18.14018626	-5.528469216	-5.134716961	-4.700862889	-6.399672646	-1.72186698	-3.807571487	-10.44729493	5.668974778	-1.669932704	-33.651529	-31.88974384	-1.617163359	0.764830447		
Belize	BLZ	Real interest rate (%)	FR.INR.RINR																	10.22417234	8.858845348	3.680342917	7.737155177	4.579477393	21.97307648					10.09446734	4.58899522	8.941198273	11.56528562	10.92113382	17.2439435	9.906512156	12.50946546	10.7991745	9.062152409	14.05457477	18.03478647	14.7752258	18.93143112	15.47509405	15.71183483	12.85598298	17.71085506	11.63509663	11.27122753	9.313742075	9.047883969	11.02692946	17.66386699	12.63063706	8.707501025	10.34884938	9.422152197	9.167514986	9.24604537	
Bermuda	BMU	Real interest rate (%)	FR.INR.RINR																																																									
Bolivia	BOL	Real interest rate (%)	FR.INR.RINR																				6.01251777	2.359919781	10.05047843	-43.85997506	-57.05525505	-85.70253718	-97.81206364	-49.77963999	30.39683634	18.95014285	21.28073465	21.97114365	19.93216767	28.54477891	44.40762995	44.11315513	35.53009504	39.77986618	41.95160079	30.22905004	32.18152246	27.9483965	17.85309681	17.32305775	10.65860797	6.022332749	10.07566935	-1.559334019	5.110715577	3.164025667	15.14443063	1.04274555	-3.219403621	3.767490562	4.772621548	7.489407955	13.30845775	
Brazil	BRA	Real interest rate (%)	FR.INR.RINR																																						65.40905363	77.61726201	67.06270772	48.11291904	45.63783065	48.34019562	46.44767841	43.77917182	44.63511721	41.24017222	35.0225196	35.36695388	34.79193774	29.11578905	32.83346248	26.58205865	18.49889353	22.40370099	33.41575082	
Barbados	BRB	Real interest rate (%)	FR.INR.RINR																						-0.654226184	3.192581279	5.830609772	5.973113752	6.806631663	4.401170183	1.322690613	6.491926128	2.891325502	7.423601821	7.581076591	11.17240331	3.557261975	6.712735585	6.732781038	7.257466426	8.83855763	0.975894197	4.738128198	11.68078642	7.160334103	7.530439487	7.29324036	2.370246219	2.339242084	5.553327858	6.691666479	9.287552568	4.665576487	12.76115073	11.73079669	9.698291823	7.651094145	9.059082256	8.203547021	
Brunei Darussalam	BRN	Real interest rate (%)	FR.INR.RINR																																							20.54134773	-5.46084756	-18.22701237	11.74888397	5.106681071	-0.569825769	-8.962385242	-11.17010239	-4.132498999	4.331025065	-6.382603226	35.41511735	-9.588180067	-12.21537999	4.226711199	8.566072754	7.503701679	28.0149128	
